Timestamp,P1. ¿En qué turno cursás?,P2. ¿Qué carrera cursás?,P3. ¿En qué rango de edad te encontrás?,P4. ¿Cómo tomás notas principalmente en clase?,P5. ¿Sentís que tenés alguna dificultad con tu forma actual de tomar notas?,P5b. ¿Cuáles son las principales dificultades? (elegí hasta 3),P6. ¿Tenés acceso estable a internet en el instituto?,"P7. ¿Qué tan útil te parecería una app web gratuita, sin cuenta, para tomar notas de estudio?",P8. ¿Qué características te importan más en una app de notas? (elegí hasta 3),P9. ¿Desde qué dispositivo usarías más una app de notas?,P10. ¿Probarías un prototipo de la app cuando esté disponible?,P11. ¿Cómo preferirías organizar tus notas de estudio?,P12. ¿Algún comentario o sugerencia? (opcional)
5/11/2026 18:33:34,Mañana (8 a 12hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido, No puedo acceder sin internet",Casi siempre,3,"Que funcione sin internet, Que sea rápida, Que no pida cuenta",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:39:41,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",A veces,4,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:40:07,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",Siempre,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"No me importa, con tal de encontrarlas rápido",Las definiciones de palabras específicas de la carrera.
5/11/2026 21:43:49,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Celular,No,,Raramente,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:44:23,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que sea rápida",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:45:03,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Por ahora nada...
5/11/2026 21:45:27,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,4,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:46:02,Noche (19 a 23hs),Prof. Educación Especial,18-22,No tomo notas,,,Raramente,5,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,En una lista simple sin organización,
5/11/2026 21:47:03,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,No,,A veces,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",En base
5/11/2026 22:01:25,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",Nunca,1,Que funcione sin internet,Celular,Tal vez,"No me importa, con tal de encontrarlas rápido",
